"nama","posisi1","posisi2"
"Agus Dwi Suarjaya","pembicara","speaker"
"Ahmad Romadhon H.","pembicara","speaker"
"Andi Sugandi","pembicara","speaker"
"Arga Dhahana Pramudianto","pembicara","speaker"
"Arya Wiradarma","pembicara","speaker"
"Aryani Lestari Putri","pembicara","speaker"
"Darian Rizaludin","pembicara","speaker"
"Didiet A. Pambudiono","pembicara","speaker"
"Edwin Zakaria","pembicara","speaker"
"Estu Fardani","pembicara","speaker"
"Giovan Isa Musthofa","pembicara","speaker"
"Herpiko Dwi Aguno","pembicara","speaker"
"I Gusti Agung Made Wirautama","pembicara","speaker"
"I Putu Agus Eka","pembicara","speaker"
"Imanuel Ronaldo","pembicara","speaker"
"Joko Susilo","pembicara","speaker"
"Kukuh Syafaat","pembicara","speaker"
"Levay","pembicara","speaker"
"Moh Noor Al Azam","pembicara","speaker"
"Mohammad Rifki Affandi Zarkasyi","pembicara","speaker"
"Muhamad Andhika Prasetya","pembicara","speaker"
"Muhammad Dhenandi Putra","pembicara","speaker"
"Nugi Abdiansyah","pembicara","speaker"
"Ragil Setianjaya","pembicara","speaker"
"Rahman Yusri Aftian","pembicara","speaker"
"Sabar Suwarsono","pembicara","speaker"
"Samsul Ma'arif","pembicara","speaker"
"Saputro Aryulianto","pembicara","speaker"
"Syah Dwi Prihatmoko","pembicara","speaker"
"Utian Ayuba","pembicara","speaker"
"Yan Arief","pembicara","speaker"
"Yudhi Satrio","pembicara","speaker"
"Zufar Dhiyaulhaq","pembicara","speaker"
